"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"1008",10,"Someone You Loved","Lewis Capaldi",2020,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,110,"7qEHsqek33rTcFNT9PFqLf",182161,"FALSE","90","pop","uk pop","pop","uk pop","pop"
"1009",11,"Say So","Doja Cat",2020,0.787,0.673,11,-4.577,0,0.158,0.256,0,0.0904,0.786,111,"3Dv1eDb0MEgF93GpLXlucZ",237893,"TRUE","84","dance pop","pop","dance pop","pop","dance pop"
"1010",12,"I Hope","Gabby Barrett Charlie Puth",2020,0.554,0.576,6,-6.495,1,0.0399,0.171,0,0.159,0.409,75,"5cYFwgA5dHoqR3xGnlr9ew",209763,"FALSE","71","contemporary country","country pop","contemporary country","country pop","contemporary country"
"1011",13,"Whats Poppin","Jack Harlow DaBaby Tory Lanez  Lil Wayne",2020,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145,"2MbdDtCv5LUVjYy9RuGTgC",227478,"TRUE","84","deep underground hip hop","kentucky hip hop","pop rap","rap","deep underground hip hop"
"1012",14,"Dance Monkey","Tones And I",2020,0.824,0.588,6,-6.4,0,0.0924,0.692,1e-04,0.149,0.513,98,"2XU0oxnq2qxCpomAAuJY8K",209438,"FALSE","87","australian pop","pop","australian pop","pop","australian pop"
"1013",15,"Savage","Megan Thee Stallion",2020,0.822,0.743,10,-4.772,0,0.28,0.016,0,0.127,0.636,84,"5v4GgrXPMghOnBBLmveLac",242001,"TRUE","77","houston rap","pop","pop rap","trap queen","houston rap"
"1014",16,"Roxanne","Arizona Zervas",2020,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,117,"696DnlkuDOXcMAnKlTgXXK",163636,"TRUE","85","pop rap","rhode island rap","pop rap","rhode island rap","pop rap"
"1015",17,"Intentions","Justin Bieber Quavo",2020,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,148,"4umIPjkehX1r7uhmGvXiSV",212867,"FALSE","80","canadian pop","pop","post-teen pop","canadian pop","pop"
"1016",18,"Everything I Wanted","Billie Eilish",2020,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120,"3ZCTVFBt2Brf31RLEnCkWJ",245426,"FALSE","85","electropop","pop","electropop","pop","electropop"
"1017",19,"Roses","SAINt JHN",2020,0.769,0.719,8,-5.472,1,0.0474,0.0143,0.0078,0.359,0.863,122,"0zLCBJZSiELJf02ucPP9wb",176867,"TRUE","75","melodic rap","pop rap","rap","slap house","melodic rap"
"1018",20,"Watermelon Sugar","Harry Styles",2020,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95,"6UelLqGlWMcVH1E5c4H7lY",174000,"FALSE","90","pop","post-teen pop","pop","post-teen pop","pop"
"1019",21,"Before You Go","Lewis Capaldi",2020,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,112,"2gMXnyrvIjhVBUZwvLZDMP",215107,"FALSE","84","pop","uk pop","pop","uk pop","pop"
"1020",22,"Falling","Trevor Daniel",2020,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127,"4TnjEaWOeW0eKTKIEvJyCa",159382,"FALSE","84","alternative r&b","emo rap","melodic rap","pop rap","alternative r&b"
"1021",23,"10,000 Hours","Dan + Shay  Justin Bieber",2020,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,90,"2wrJq5XKLnmhRXHIAf9xBa",167693,"FALSE","84","contemporary country","pop","contemporary country","pop","contemporary country"
"1022",24,"WAP","Cardi B Megan Thee Stallion",2020,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133,"4Oun2ylbjFKMPTiaSbbCih",187541,"TRUE","90","dance pop","pop","pop rap","rap","dance pop"
"1023",25,"Ballin'","Mustard  Roddy Ricch",2020,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97,"3QzAOrNlsabgbMwlZt7TAY",180435,"TRUE","82","cali rap","hip hop","pop rap","rap","southern hip hop"
"1024",26,"Hot Girl Bummer","blackbear",2020,0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,130,"2mt1IqcFyY1zmYZT8Q3xw9",188344,"TRUE","85","electropop","pop","pop rap","electropop","pop"
"1025",27,"Blueberry Faygo","Lil Mosey",2020,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99,"6wJYhPfqk3KGhHRG76WzOh",162547,"TRUE","82","melodic rap","rap","rap conscient","trap","vapor trap"
"1026",28,"Heartless","The Weeknd",2020,0.537,0.746,10,-5.507,0,0.15,0.0236,0,0.156,0.252,170,"6bnF93Rx87YqUBLSgjiMU8",198267,"TRUE","81","canadian contemporary r&b","canadian pop","pop","canadian contemporary r&b","canadian pop"
"1027",29,"BOP","DaBaby",2020,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,127,"6Ozh9Ok6h4Oi1wUSLtBseN",159715,"TRUE","83","north carolina hip hop","rap","north carolina hip hop","rap","north carolina hip hop"
"1028",30,"Lose You To Love Me","Selena Gomez",2020,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,103,"4l0Mvzj72xxOpRrp6h8nHi",206459,"FALSE","83","dance pop","pop","pop dance","post-teen pop","dance pop"
"1029",31,"Good As Hell","Lizzo",2020,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,96,"6KgBpzTuTRPebChN0VTyzV",159736,"FALSE","73","dance pop","escape room","minnesota hip hop","pop","pop dance"
"1030",32,"Toosie Slide","Drake",2020,0.834,0.454,1,-9.75,0,0.201,0.321,0,0.114,0.837,82,"127QTOFJsJQp5LbJbu3A1y",247059,"TRUE","82","canadian hip hop","canadian pop","hip hop","pop rap","rap"
